76	4	22
0	0	1
2628	6	50
137	11	38
120	1	0
61	0	0
353	12	439
124	47	6
3889	775	1477
0	21	222
272	47	747
109	31	43
678	2	32
340	0	5
75	0	10
1	1	1
245	2	10
354	20	12
170	0	0
233	24	86
61	2	5
160	0	17
1065	258	281
78	2	6
318	451	26
388	2	37
3975	21	330
5268	0	549
63	3	4
185	12	929
157	0	17
820	6	5
1	4	2
4	0	0
11	1	0
1354	14	0
12	3	13
2180	118	0
1372	8	6
86	10	80
126	6	36
21	12	0
271	2	0
97	10	12
387	40	35
47	1	58
479	63	23
189	0	5
0	0	0
568	1	42
672	4	1316
134	9	45
37	1	4
38	3	1
2573	508	38
42	57	0
148	174448	105
359	28	29
3	0	37716
821	39	59
0	21	31
10	1	2
103	1	12
2	7	73
763	1	13
3	1	8
25	3	0
1686	1	504
282	1	19
37	3	1
26	34	5
22634	703	5002
485	0	3
905	122	15603
16	13	12
103	0	14
305	1	653
191	317	76
0	0	0
818	0	19
1384	6	190
6	4	10
219	2	219
2	0	0
13001	179	273
0	12	1
48	0	0
185	9	0
8	1	2
1239	2	45
28	115	369
99	34	34
307	0	7
32	0	808
0	0	2
4	16	1
32	0	1
752	1	79
19	1	85
61	46	15
2124	14	285
61	3	34
91	2	20
1256	904	1021
5	54	18
293	0	0
503	95	33
5	0	1
2	2	10
292	4	4
7	0	1
7878	3505	1977
973	4	72
89	7	5
1	0	401
36	27	2
89	1	6
17	1	48
30	159	13
0	0	0
35	4	4
430	119	59
56	6	11
13	1	19
172	0	0
2	1	5
2082	12	150
0	0	0
31	3	404
13	13	6
111	1	10
162	0	3
848	3	113
123	0	71
286	40	81
129	1	21
0	1	0
220	1	10
3	6	1
125	1	136
75	0	40
61	1	6
1909	21	172
158	95	0
464	4	168
25	10	20
2	0	1
1425	3	92
89	579	2
6	2	3
40	2	16
42	3	14
2916	11	41
0	182	26
1	12	1
596	3	0
219	3	67
130	4	13
50	0	21
119	3	10
0	0	14
49	0	25
97	2	26
4	2	1
5	3	3
170	2	2
258	0	400
53	0	8
9	0	0
22	0	1
2	1	2
2787	2619	367
716	5	9
1547	605	69
0	22	4
803	9	279
1352	26	432
1	0	0
0	0	0
530	0	10
57	0	9
5	0	4
41	11	8
122	10	40
125905	544	26264
0	0	0
10	0	0
2	0	1
12	0	44
371	2	151
116	0	2
152	0	3
4	267	92
3	0	182
3641	86	399
140	217	1100
405	32	32
113	3	32
26	0	34
13	0	27
0	0	0
0	0	0
0	9	8
0	0	9
126	9	12
0	1	0
0	7	1
17	22	3
10	1	1
7	3	18
0	14	262
14028	3969	943
331	0	0
113	21	2
7482	501	492
9	2	54
234	0	4
145	225	46
46	0	0
1	0	2221
239	3	92
120	1	70
295	97402	353
46	97	66
6	0	12
2	9	4
42	4	11
216	1	20
27	73	49
5	0	15
661	5	25
239	9	99
707	30	2859
28	190	9
2404	1	42
16978	5	430
296	0	68
255	3	44
368	0	96
350	527	221
140	4	49
4432	11	126
680	3	0
